GEOID,COUNTYFP,TRACTCE,AREA,EJ_Community,SFS_Count,FSF_Count,Threat,EPA_FSF_Count,White_PCT,Black_PCT,HISPLA_PCT,Asian_PCT,LOWINCPCT,LINGISOPCT,LESSHSPCT,PRE1960PCT,PM25,OZONE,NO2,RSEI_AIR,PRMP,PWDIS,PTRAF,UST,PTSDF,ALAND,AWATER,CALC_SQ_MI,ACSTOTPOP,ACSIPOVBAS,ACSEDUCBAS,ACSTOTHH,ACSTOTHU,ACSUNEMPBAS,ACSDISABBAS,DEMOGIDX_2,DEMOGIDX_5,PEOPCOLOR,PEOPCOLORPCT,LOWINCOME,UNEMPLOYED,UNEMPPCT,DISABILITY,DISABILITYPCT,LINGISO,LESSHS,UNDER5,UNDER5PCT,OVER64,OVER64PCT,LIFEEXPPCT,DSLPM,PNPL,PRE1960,DWATER,AREALAND,AREAWATER,NPL_CNT,TSDF_CNT,EXCEED_COUNT_80_SUP,TL_GEO_ID,Total_ACS,White,Black,Asian,HISPLA,Shape_Length,Shape_Area
36059300100,059,300100,88720000.000000000000000,0,1,0,0,0,0.881816556409798,0.001787949222242,0.058644734489540,0.043804755944931,0.062589486602577,0.014094955489614,0.032808398950131,0.508417508417508,7.788555191256830,67.964780000000005,13.564452764847500,143.257354815625547,0.000000000000000,4466.808175286349069,3142761.122311579063535,0.132899002195709,4.189505826770180,8699839.000000000000000,8236254.000000000000000,446.637468389582011,5593,4889,3048,1348,1485,2208,5291,0.381190225584998,0.319331276597724,712,0.127301984623637,306,48,0.021739130434783,291,0.054999054999055,19,100,261,0.046665474700519,940,0.168067226890756,0.084102564102564,0.349301012460753,0.903930892934972,755.000000000000000,0.000000000000000,8699839.000000000000000,8236254.000000000000000,0,0,0,0,5593,4932,10,245,328,0.250853556566779,0.001807696229000
36059300300,059,300300,17640000.000000000000000,1,1,0,0,0,0.762564217109672,0.024793388429752,0.159481795845432,0.136251954433773,0.321420594147867,0.142208774583964,0.133790119004688,0.618025751072961,7.725894644808740,67.818969999999993,13.094648280306760,143.668281022179485,0.000000000000000,4298.308510602158094,3103914.473159959539771,0.272501142380367,4.034621603859426,1631259.000000000000000,0.000000000000000,446.637468389582011,4477,4477,2773,1322,1631,1611,4477,1.432377171704361,1.344758276576887,1511,0.337502792048247,1439,69,0.042830540037244,400,0.089345543890998,188,371,482,0.107661380388653,943,0.210632119723029,0.121025641025641,0.349152531545062,0.962323633726323,1008.000000000000000,0.000000000000000,1631259.000000000000000,0.000000000000000,0,0,1,0,4477,3414,111,610,714,0.092291356161136,0.000174078555500
36059300400,059,300400,19280000.000000000000000,0,1,0,0,0,0.767127449491113,0.000000000000000,0.092055293938934,0.099650615221024,0.234847334042230,0.116279069767442,0.063122053431116,0.722518159806295,7.694744890710380,67.937640000000002,13.504616637499131,140.702830421098213,0.000000000000000,1744.636050723358267,3044023.368902596179396,0.000000000000000,3.879749943400401,1798822.000000000000000,70057.000000000000000,446.637468389582011,6583,6583,3818,1978,2065,2596,6583,1.059096763668300,1.057528444278096,1673,0.254139450098739,1546,128,0.049306625577812,398,0.060458757405438,230,241,794,0.120613701959593,1045,0.158742214795686,0.138461538461538,0.353310314838762,1.225445981828873,1492.000000000000000,0.000000000000000,1798822.000000000000000,70057.000000000000000,0,0,0,0,6583,5050,0,656,606,0.097794085773065,0.000199429631500
36059300500,059,300500,32760000.000000000000000,0,0,0,0,1,0.820711974110032,0.003236245954693,0.022815533980583,0.120388349514563,0.100357258850276,0.108662994491738,0.037778904665314,0.690369036903690,7.678316202185790,67.604389999999995,14.009931312986414,139.119032887207112,0.000000000000000,3335.663037172882468,4133430.191700665745884,1.371114462209020,6.141224462953979,3210038.000000000000000,954080.000000000000000,446.637468389582011,6180,6158,3944,1997,2222,2681,6180,0.589320132859121,0.848407310658781,1180,0.190938511326861,618,63,0.023498694516971,503,0.081391585760518,217,149,299,0.048381877022654,1221,0.197572815533981,0.126153846153846,0.389004910608361,2.639314317373113,1534.000000000000000,0.000000000000000,3210038.000000000000000,954080.000000000000000,1,0,0,0,6180,5072,20,744,141,0.101331230744695,0.000444272184500
36059300600,059,300600,29560000.000000000000000,0,0,0,0,0,0.595709816773425,0.003426187993446,0.019514375093103,0.366900044689409,0.167314012548551,0.083650190114068,0.066736842105263,0.695038321903994,7.637009754098360,67.871170000000006,14.497719511999929,129.826082642433221,0.000000000000000,1513.907010181824262,3904715.003283695317805,3.556157445007844,6.164255303463994,2772951.000000000000000,0.000000000000000,446.637468389582011,6713,6694,4750,2367,2479,3305,6713,1.145297101226105,0.905483206538088,2795,0.416356323551318,1120,85,0.025718608169440,698,0.103977357366304,198,317,272,0.040518397139878,1773,0.264114404886042,0.107692307692308,0.405448327711308,1.725187829144663,1723.000000000000000,0.000000000000000,2772951.000000000000000,0.000000000000000,0,0,0,0,6713,3999,23,2463,131,0.127780342870740,0.000295848584500
36059300700,059,300700,8080000.000000000000000,0,0,1,0,1,0.660675883256528,0.012442396313364,0.141013824884793,0.190629800307220,0.185651353052234,0.077997671711292,0.045275958840037,0.565029681597410,7.641833196721310,67.767099999999999,14.957739399101865,128.592299389158086,0.000000000000000,1602.356066038676090,4117942.559527655132115,1.158628110069161,7.570727478286047,745622.000000000000000,0.000000000000000,446.637468389582011,6510,6356,5345,3436,3706,3421,6356,1.125530064013875,0.951219460794889,2438,0.374500768049155,1180,228,0.066647179187372,657,0.103366897419761,268,242,344,0.052841781874040,1653,0.253917050691244,0.124102564102564,0.412169585257452,2.558019667154965,2094.000000000000000,0.000000000000000,745622.000000000000000,0.000000000000000,1,2,0,0,6510,4301,81,1241,918,0.059831736174487,0.000079548179500
36059300800,059,300800,14360000.000000000000000,1,3,0,1,1,0.549029009829777,0.019659554063774,0.106689043394869,0.355789978422441,0.155837928554304,0.097024579560155,0.080707395498392,0.890109890109890,7.607546912568310,67.544359999999998,14.918722451635873,128.470184129187714,0.000000000000000,1527.715045612607128,5755906.254904501140118,11.082355547379738,6.269549723663935,1375443.000000000000000,0.000000000000000,446.637468389582011,4171,4171,3110,1546,1638,2259,4171,1.274374324956507,0.834034224053645,2139,0.512826660273316,650,112,0.049579459938026,369,0.088467993286982,150,251,184,0.044114121313834,679,0.162790697674419,0.094358974358974,0.411344700392732,2.805604566841176,1458.000000000000000,0.000000000000000,1375443.000000000000000,0.000000000000000,1,0,0,0,4171,2290,82,1484,445,0.093009516049132,0.000146716306500
36059300901,059,300901,52320000.000000000000000,0,4,0,1,0,0.398938053097345,0.029026548672566,0.056991150442478,0.535929203539823,0.074162679425837,0.102702702702703,0.111924686192469,0.651048088779285,7.549566065573770,67.674449999999993,15.018185002125978,125.412742780445541,0.000000000000000,1269.095271476910739,6418446.872195332311094,4.623412254165583,6.409040115610642,4792700.000000000000000,128626.000000000000000,446.637468389582011,2825,2508,1912,740,811,1201,2508,1.242265987905298,1.059793511889902,1771,0.626902654867257,186,37,0.030807660283097,126,0.050239234449761,76,214,54,0.019115044247788,703,0.248849557522124,0.166153846153846,0.431891443682474,1.537947716529887,528.000000000000000,0.000000000000000,4792700.000000000000000,128626.000000000000000,0,2,0,0,2825,1127,82,1514,161,0.149873711421720,0.000524893813500
36059300902,059,300902,76800000.000000000000000,0,0,0,0,0,0.678894009216590,0.009769585253456,0.069308755760369,0.300460829493088,0.073364055299539,0.035360068995257,0.038663921299474,0.064930015552100,7.530903825136610,67.817509999999999,15.153777186378376,114.790937420699123,0.000000000000000,881.110539174573319,5817522.013174192979932,0.000000000000000,4.451841739892977,7140468.000000000000000,0.000000000000000,446.637468389582011,5425,5425,4371,2319,2572,2519,5425,0.847060246339565,0.969581765276435,2117,0.390230414746544,398,47,0.018658197697499,613,0.112995391705069,82,169,302,0.055668202764977,1950,0.359447004608295,0.166153846153846,0.334758145332468,1.683060576560480,167.000000000000000,0.000000000000000,7140468.000000000000000,0.000000000000000,0,0,0,0,5425,3683,53,1630,376,0.198421439820669,0.000761676024500
36059301000,059,301000,156800000.000000000000000,0,1,0,0,0,0.844072164948454,0.008100147275405,0.060014727540501,0.081553755522828,0.057425366039171,0.012671594508976,0.028291621327530,0.490151168117270,7.814775409836070,68.739170000000001,13.085553849658506,103.441771299822960,0.000000000000000,1293.505533758532692,1706774.881364959292114,0.410986277828024,2.193905113871781,15113799.000000000000000,12559851.000000000000000,446.637468389582011,5432,5259,3676,1894,2183,2367,5358,0.462413536267989,0.493798007185707,1003,0.184646539027982,302,104,0.043937473595268,588,0.109742441209406,24,104,226,0.041605301914580,1467,0.270066273932253,0.089230769230769,0.333238791641155,4.025117366360415,1070.000000000000000,0.000000000000000,15113799.000000000000000,12559851.000000000000000,1,0,0,0,5432,4585,44,443,326,0.311136378944109,0.002955167808001
